size,type,algorithm,time_us,memory_kb,cpu_percent,optimization
100,int,quick_recursive,5,0,0.0,-O1
100,int,quick_iterative,5,0,83.3,-O1
100,int,merge_parallel,9,0,71.4,-O1
100,double,quick_recursive,6,0,85.4,-O1
100,double,quick_iterative,6,0,92.3,-O1
100,double,merge_parallel,9,0,81.2,-O1
1000,int,quick_recursive,59,0,95.9,-O1
1000,int,quick_iterative,63,128,97.2,-O1
1000,int,merge_parallel,1556,0,135.4,-O1
1000,double,quick_recursive,284,0,328.1,-O1
1000,double,quick_iterative,95,0,204.7,-O1
1000,double,merge_parallel,96,0,227.5,-O1
5000,int,quick_recursive,369,0,287.1,-O1
5000,int,quick_iterative,384,0,238.3,-O1
5000,int,merge_parallel,351,0,142.2,-O1
5000,double,quick_recursive,523,0,251.7,-O1
5000,double,quick_iterative,760,0,444.2,-O1
5000,double,merge_parallel,434,128,610.3,-O1
10000,int,quick_recursive,993,0,249.3,-O1
10000,int,quick_iterative,790,0,374.9,-O1
10000,int,merge_parallel,693,0,553.6,-O1
10000,double,quick_recursive,1789,0,386.5,-O1
10000,double,quick_iterative,1416,0,291.8,-O1
10000,double,merge_parallel,1022,0,621.7,-O1
50000,int,quick_recursive,5924,0,299.2,-O1
50000,int,quick_iterative,4864,0,249.5,-O1
50000,int,merge_parallel,3769,344,296.2,-O1
50000,double,quick_recursive,5808,0,350.7,-O1
50000,double,quick_iterative,5775,0,115.6,-O1
50000,double,merge_parallel,5477,732,299.1,-O1
100000,int,quick_recursive,10775,0,307.8,-O1
100000,int,quick_iterative,10896,0,99.6,-O1
100000,int,merge_parallel,9260,384,348.5,-O1
100000,double,quick_recursive,12551,0,181.9,-O1
100000,double,quick_iterative,13008,0,95.3,-O1
100000,double,merge_parallel,10560,1408,359.1,-O1
100,int,quick_recursive,5,0,0.0,-Ofast
100,int,quick_iterative,4,0,100.0,-Ofast
100,int,merge_parallel,8,0,107.1,-Ofast
100,double,quick_recursive,6,0,100.0,-Ofast
100,double,quick_iterative,6,0,91.7,-Ofast
100,double,merge_parallel,7,0,100.0,-Ofast
1000,int,quick_recursive,55,0,100.0,-Ofast
1000,int,quick_iterative,192,128,37.1,-Ofast
1000,int,merge_parallel,563,0,139.4,-Ofast
1000,double,quick_recursive,65,0,215.5,-Ofast
