size,type,algorithm,time_us,memory_kb,cpu_percent
100,int,quick_recursive,12,0,0.0
100,int,quick_iterative,11,0,87.2
100,int,merge_parallel,21,0,29.1
100,double,quick_recursive,16,0,85.9
100,double,quick_iterative,16,0,88.5
100,double,merge_parallel,27,0,94.3
1000,int,quick_recursive,122,0,76.6
1000,int,quick_iterative,121,0,97.0
1000,int,merge_parallel,1079,0,108.2
1000,double,quick_recursive,175,0,303.2
1000,double,quick_iterative,230,0,290.3
1000,double,merge_parallel,825,0,274.2
5000,int,quick_recursive,1242,0,238.0
5000,int,quick_iterative,709,0,341.9
5000,int,merge_parallel,822,0,273.1
5000,double,quick_recursive,1725,0,308.7
5000,double,quick_iterative,1101,0,346.2
5000,double,merge_parallel,2274,0,359.0
10000,int,quick_recursive,2225,0,347.9
10000,int,quick_iterative,1559,0,290.2
10000,int,merge_parallel,1409,0,432.9
10000,double,quick_recursive,2521,0,268.4
10000,double,quick_iterative,2284,0,364.8
10000,double,merge_parallel,2378,128,279.1
50000,int,quick_recursive,9198,0,353.9
50000,int,quick_iterative,8699,0,117.3
50000,int,merge_parallel,10135,512,354.3
50000,double,quick_recursive,12753,0,268.7
50000,double,quick_iterative,13239,0,92.4
50000,double,merge_parallel,11893,768,309.9
100000,int,quick_recursive,21894,0,225.6
100000,int,quick_iterative,21293,0,100.0
100000,int,merge_parallel,15930,128,341.5
100000,double,quick_recursive,26480,0,185.3
100000,double,quick_iterative,26273,0,100.0
100000,double,merge_parallel,25462,1408,295.2
