size,type,algorithm,time_us,memory_kb,cpu_percent
100,int,quick_recursive,5,0,0.0
100,int,quick_iterative,4,0,100.0
100,int,merge_parallel,8,0,107.1
100,double,quick_recursive,6,0,100.0
100,double,quick_iterative,6,0,91.7
100,double,merge_parallel,7,0,100.0
1000,int,quick_recursive,55,0,100.0
1000,int,quick_iterative,192,128,37.1
1000,int,merge_parallel,563,0,139.4
1000,double,quick_recursive,65,0,215.5
1000,double,quick_iterative,65,0,100.0
1000,double,merge_parallel,145,0,738.0
5000,int,quick_recursive,319,0,102.9
5000,int,quick_iterative,355,0,190.9
5000,int,merge_parallel,1323,0,405.9
5000,double,quick_recursive,571,0,307.4
5000,double,quick_iterative,414,0,259.6
5000,double,merge_parallel,546,128,327.8
10000,int,quick_recursive,713,0,284.1
10000,int,quick_iterative,770,0,477.1
10000,int,merge_parallel,601,0,99.8
10000,double,quick_recursive,1597,0,380.6
10000,double,quick_iterative,886,0,282.0
10000,double,merge_parallel,1179,0,228.3
50000,int,quick_recursive,3945,0,335.5
50000,int,quick_iterative,4328,0,307.4
50000,int,merge_parallel,9594,340,329.0
50000,double,quick_recursive,4800,0,350.6
50000,double,quick_iterative,4695,0,281.4
50000,double,merge_parallel,4126,1152,324.0
100000,int,quick_recursive,9230,0,360.1
100000,int,quick_iterative,9861,0,112.0
100000,int,merge_parallel,7631,0,330.6
100000,double,quick_recursive,10476,0,258.9
100000,double,quick_iterative,9762,0,100.0
100000,double,merge_parallel,7494,1280,361.4
